date,code,oneDayAfter(open)(reg),oneDayAfter(open)(reg),oneDay(close-open)(reg),oneDay(close-close)(reg),IXICClose-IXICOpen,GSPCClose-GSPCOpen,SOXClose-SOXOpen
2004-07-22,0000,-0,-0.0100927,0.0002791,-0.0026257,0.0088033,0.0026987,0.0300400,
2004-07-23,0000,0,0.0031656,0.0024457,-0.0079037,-0.0137203,-0.0097956,-0.0366389,
2004-07-26,0000,0,0.0176799,0.0116789,0.0123921,-0.0072865,-0.0019648,-0.0130636,
2004-07-27,0000,-0,-0.0099215,-0.0089197,-0.0027937,0.0132791,0.0098280,0.0063538,
2004-07-28,0000,0,0.0067354,-0.0053405,-0.0063387,-0.0016736,0.0005386,-0.0085609,
2004-07-29,0000,-0,-0.0019448,0.0010829,0.0130817,0.0050610,0.0045528,0.0284540,
2004-07-30,0000,-0,-0.0087036,-0.0100535,-0.0131149,0.0046732,0.0011709,0.0125831,
2004-08-02,0000,-0,-0.0035853,0.0017998,0.0031338,0.0090693,0.0044279,0.0055165,
2004-08-03,0000,-0,-0.0007142,-0.0040531,-0.0094699,-0.0149079,-0.0063018,-0.0391602,
2004-08-04,0000,0,0.0070027,0.0171346,0.0204031,0.0023072,-0.0009648,0.0092934,
2004-08-05,0000,-0,-0.0074619,0.0049878,-0.0052693,-0.0194112,-0.0165911,-0.0108104,
2004-08-06,0000,0,0.0139409,0.0124105,0.0000537,-0.0163544,-0.0157241,-0.0400900,
2004-08-09,0000,0,0.0056266,-0.0026141,-0.0010605,-0.0043445,0.0011735,0.0019091,
2004-08-10,0000,-0,-0.0166183,-0.0132449,-0.0049168,0.0145961,0.0128077,0.0135892,
2004-08-11,0000,-0,-0.0031014,0.0034445,0.0001267,0.0022385,-0.0030210,-0.0544450,
2004-08-12,0000,0,0.0088558,0.0105641,0.0040650,-0.0103795,-0.0118131,-0.0202590,
2004-08-13,0000,0,0.0005758,-0.0053494,-0.0070852,-0.0029820,0.0014745,0.0037638,
2004-08-16,0000,-0,-0.0064495,-0.0077211,-0.0017819,0.0130466,0.0134712,0.0098569,
2004-08-17,0000,0,0.0257600,0.0144646,0.0157082,0.0016655,0.0021910,0.0142157,
2004-08-18,0000,0,0.0197577,0.0200447,0.0312762,0.0238674,0.0122903,0.0328776,
2004-08-19,0000,0,0.0089211,0.0038255,0.0035338,-0.0033079,-0.0036106,-0.0085166,
2004-08-20,0000,0,0.0159523,0.0016252,0.0067321,0.0100543,0.0064825,0.0022539,
2004-08-23,0000,0,0.0116688,0.0120412,0.0262188,-0.0027683,-0.0024368,0.0104848,
2004-08-26,0000,-0,-0.0033374,-0.0023268,-0.0027045,-0.0015381,0.0001176,-0.0101998,
2004-08-27,0000,-0,-0.0059277,-0.0005061,-0.0015150,0.0037914,0.0024193,0.0050740,
2004-08-30,0000,0,0.0072554,0.0013529,-0.0040586,-0.0105037,-0.0078424,-0.0232844,
2004-08-31,0000,0,0.0120096,0.0099554,0.0158071,0.0003047,0.0046095,-0.0070616,
2004-09-01,0000,-0,-0.0017987,-0.0029849,-0.0009038,0.0092088,0.0015101,0.0083921,
2004-09-02,0000,-0,-0.0195638,-0.0171216,-0.0159187,0.0135580,0.0110882,0.0091102,
2004-09-03,0000,0,0.0067143,0.0049602,0.0025710,-0.0071185,-0.0042025,-0.0552202,
2004-09-07,0000,-0,-0.0021251,-0.0034724,-0.0001386,0.0013774,0.0068403,-0.0115332,
2004-09-08,0000,0,0.0039187,-0.0018741,-0.0005288,-0.0024910,-0.0045061,-0.0048287,
2004-09-09,0000,0,0.0068778,-0.0052547,0.0005576,0.0059583,0.0018867,0.0510001,
2004-09-10,0000,0,0.0064723,0.0017897,0.0138372,0.0126590,0.0049292,0.0329241,
2004-09-13,0000,-0,-0.0076809,-0.0061472,-0.0014274,0.0053445,0.0016877,0.0241414,
2004-09-14,0000,-0,-0.0144824,-0.0067603,-0.0082949,0.0032369,0.0022245,0.0010165,
2004-09-15,0000,0,0.0127775,0.0109777,0.0033916,-0.0062536,-0.0071048,-0.0334051,
2004-09-16,0000,-0,-0.0094155,-0.0143339,-0.0124880,0.0027572,0.0027859,0.0017565,
2004-09-17,0000,0,0.0093579,0.0030352,0.0078693,0.0016125,0.0044748,0.0181467,
2004-09-20,0000,0,0.0100538,0.0079489,0.0142404,0.0026467,-0.0056585,0.0285071,
2004-09-21,0000,-0,-0.0067937,0.0013852,0.0035041,0.0041901,0.0062871,0.0095356,
2004-09-22,0000,0,0.0037333,0.0026224,-0.0055463,-0.0130031,-0.0141348,-0.0306581,
2004-09-23,0000,-0,-0.0122360,-0.0087675,-0.0076440,-0.0003128,-0.0046916,0.0052058,
2004-09-24,0000,-0,-0.0048462,-0.0038980,-0.0073497,-0.0050067,0.0015764,-0.0293818,
2004-09-27,0000,0,0.0034703,-0.0058436,-0.0067938,-0.0060649,-0.0059718,-0.0148292,
2004-09-29,0000,0,0.0009149,-0.0031408,0.0061481,0.0123182,0.0042519,0.0182071,
2004-09-30,0000,0,0.0251234,0.0127713,0.0167627,0.0022353,-0.0001974,0.0093181,
2004-10-01,0000,0,0.0110659,0.0094242,0.0218182,0.0167902,0.0149536,0.0440646,
2004-10-04,0000,0,0.0008485,-0.0011577,0.0005016,-0.0011217,0.0032330,0.0076541,
2004-10-05,0000,0,0.0037409,-0.0053806,-0.0033660,0.0026950,-0.0006082,-0.0010628,
2004-10-06,0000,-0,-0.0054397,-0.0021465,0.0069458,0.0086858,0.0066284,0.0039882,
2004-10-07,0000,-0,-0.0006185,0.0031382,-0.0001377,-0.0096740,-0.0100827,-0.0070409,
2004-10-08,0000,-0,-0.0009517,0.0016472,-0.0021152,-0.0107814,-0.0075837,-0.0355309,
2004-10-11,0000,-0,-0.0132684,-0.0157052,-0.0183492,0.0022553,0.0020011,0.0051337,
2004-10-12,0000,-0,-0.0117311,-0.0051769,-0.0027654,0.0059579,-0.0022731,-0.0133813,
2004-10-13,0000,-0,-0.0183282,-0.0160125,-0.0226374,-0.0127204,-0.0073542,0.0175207,
2004-10-14,0000,0,0.0051880,0.0005171,-0.0017609,-0.0092274,-0.0093901,-0.0332370,
2004-10-15,0000,-0,-0.0055434,-0.0131719,-0.0084371,0.0018676,0.0044306,0.0020190,
2004-10-18,0000,-0,-0.0044333,-0.0013981,0.0061418,0.0138083,0.0052243,0.0077533,
2004-10-19,0000,-0,-0.0043346,-0.0003282,-0.0033602,-0.0111862,-0.0097804,0.0101471,
2004-10-20,0000,0,0.0117217,0.0055181,0.0015352,0.0066788,0.0003896,0.0128890,
2004-10-21,0000,-0,-0.0206701,-0.0102101,-0.0039084,0.0069154,0.0025576,0.0381926,
2004-10-22,0000,-0,-0.0091335,-0.0092903,-0.0197408,-0.0194346,-0.0098107,-0.0349732,
